Date,Open,High,Low,Close,Adj Close,Volume
2017-09-27,9.300000000000001e-05,0.000146,8.9e-05,0.00011599999999999999,0.00011599999999999999,372049
2017-09-28,0.00011599999999999999,0.000124,9.300000000000001e-05,0.00011100000000000001,0.00011100000000000001,424899
2017-09-29,0.00011100000000000001,0.00011499999999999999,9.2e-05,9.6e-05,9.6e-05,289875
2017-09-30,9.6e-05,0.000105,8.3e-05,8.7e-05,8.7e-05,267481
2017-10-01,8.8e-05,9.499999999999999e-05,5.6000000000000006e-05,8.7e-05,8.7e-05,399236
2017-10-02,8.8e-05,0.00010800000000000001,7.8e-05,0.00010700000000000001,0.00010700000000000001,390985
2017-10-03,0.00010700000000000001,0.000181,8.1e-05,8.8e-05,8.8e-05,304883
2017-10-04,8.8e-05,0.000102,8.4e-05,9.4e-05,9.4e-05,349608
2017-10-05,9.499999999999999e-05,0.0001,8.8e-05,9.7e-05,9.7e-05,227647
2017-10-06,9.7e-05,0.00010400000000000001,9e-05,0.000103,0.000103,166028
2017-10-07,0.000103,0.000109,8.4e-05,0.000106,0.000106,213933
2017-10-08,0.000106,0.00010700000000000001,7.8e-05,8.6e-05,8.6e-05,145582
2017-10-09,8.1e-05,8.499999999999999e-05,6.500000000000001e-05,7.099999999999999e-05,7.099999999999999e-05,159879
2017-10-10,7.2e-05,7.6e-05,6.500000000000001e-05,7.3e-05,7.3e-05,141326
2017-10-11,7.3e-05,7.900000000000001e-05,6.8e-05,7.900000000000001e-05,7.900000000000001e-05,89591
2017-10-12,7.900000000000001e-05,0.000118,6.4e-05,8.6e-05,8.6e-05,103427
2017-10-13,8.499999999999999e-05,9e-05,6.3e-05,8.4e-05,8.4e-05,159065
2017-10-14,8.4e-05,8.7e-05,6.2e-05,7e-05,7e-05,110032
2017-10-15,7e-05,7.2e-05,6.3e-05,6.8e-05,6.8e-05,97730
2017-10-16,6.9e-05,0.00021899999999999998,6.1e-05,7e-05,7e-05,55275
2017-10-17,6.9e-05,0.00020099999999999998,6.3e-05,6.6e-05,6.6e-05,51836
2017-10-18,6.6e-05,7.6e-05,5.6999999999999996e-05,7.099999999999999e-05,7.099999999999999e-05,183230
2017-10-19,7e-05,7.099999999999999e-05,6.3e-05,6.3e-05,6.3e-05,80708
2017-10-20,6.3e-05,6.8e-05,5.9999999999999995e-05,6.4e-05,6.4e-05,71299
2017-10-21,6.4e-05,6.4e-05,5.9e-05,6.3e-05,6.3e-05,44928
2017-10-22,6.3e-05,7.7e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,76945
2017-10-23,5.9999999999999995e-05,7.099999999999999e-05,5.6000000000000006e-05,5.7999999999999994e-05,5.7999999999999994e-05,58828
2017-10-24,5.7999999999999994e-05,7.6e-05,5.6999999999999996e-05,5.9e-05,5.9e-05,95552
2017-10-25,5.9e-05,6.2e-05,5.3e-05,5.5e-05,5.5e-05,48389
2017-10-26,5.4000000000000005e-05,5.6000000000000006e-05,4.9e-05,5e-05,5e-05,122483
2017-10-27,5e-05,5.9999999999999995e-05,5e-05,5.3e-05,5.3e-05,149697
2017-10-28,5.3e-05,5.6999999999999996e-05,5e-05,5.5e-05,5.5e-05,38249
2017-10-29,5.5e-05,7.3e-05,5.4000000000000005e-05,5.6000000000000006e-05,5.6000000000000006e-05,25453
2017-10-30,5.6000000000000006e-05,5.9e-05,5.2000000000000004e-05,5.3e-05,5.3e-05,52100
2017-10-31,5.3e-05,5.6999999999999996e-05,4.9e-05,4.9e-05,4.9e-05,28608
2017-11-01,4.9e-05,5.5e-05,4.6e-05,4.8e-05,4.8e-05,39287
2017-11-02,4.8e-05,4.9e-05,4e-05,4e-05,4e-05,70669
2017-11-03,4.1e-05,4.9e-05,3.7e-05,4.9e-05,4.9e-05,81746
2017-11-04,4.9e-05,4.9e-05,4.1e-05,4.6e-05,4.6e-05,37031
2017-11-05,4.6e-05,5.1e-05,4.4e-05,4.6e-05,4.6e-05,28354
2017-11-06,4.6e-05,5e-05,4.3e-05,4.3e-05,4.3e-05,26814
2017-11-07,4.4e-05,4.9e-05,4.4e-05,4.8e-05,4.8e-05,53832
2017-11-08,4.8e-05,6.500000000000001e-05,4.8e-05,6.2e-05,6.2e-05,77855
2017-11-09,6.2e-05,6.6e-05,5.4000000000000005e-05,5.9999999999999995e-05,5.9999999999999995e-05,60471
2017-11-10,5.9999999999999995e-05,6.2e-05,5.3e-05,5.3e-05,5.3e-05,34675
2017-11-11,5.3e-05,5.6000000000000006e-05,4.7e-05,5.1e-05,5.1e-05,144505
2017-11-12,5.1e-05,5.5e-05,4.7e-05,5e-05,5e-05,74943
2017-11-13,5e-05,5.6000000000000006e-05,5e-05,5.3e-05,5.3e-05,30495
2017-11-14,5.3e-05,6.1e-05,5.1e-05,5.6000000000000006e-05,5.6000000000000006e-05,31298
2017-11-15,5.6000000000000006e-05,6.2e-05,5.3e-05,5.6000000000000006e-05,5.6000000000000006e-05,88513
2017-11-16,5.6000000000000006e-05,6.3e-05,5.4000000000000005e-05,5.6999999999999996e-05,5.6999999999999996e-05,32439
2017-11-17,5.6999999999999996e-05,6.3e-05,5.5e-05,5.9999999999999995e-05,5.9999999999999995e-05,58874
2017-11-18,5.9e-05,6.8e-05,5.6000000000000006e-05,6.7e-05,6.7e-05,48442
2017-11-19,6.7e-05,7.900000000000001e-05,6.3e-05,7.6e-05,7.6e-05,47073
2017-11-20,7.6e-05,7.900000000000001e-05,6.500000000000001e-05,7.6e-05,7.6e-05,61338
2017-11-21,7.6e-05,7.8e-05,5.9999999999999995e-05,6.2e-05,6.2e-05,39580
2017-11-22,6.2e-05,6.9e-05,6.1e-05,6.4e-05,6.4e-05,62282
2017-11-23,6.4e-05,6.9e-05,6.2e-05,6.3e-05,6.3e-05,48963
2017-11-24,6.3e-05,7.900000000000001e-05,6.2e-05,7.6e-05,7.6e-05,43287
2017-11-25,7.6e-05,7.6e-05,6.3e-05,7e-05,7e-05,61051
2017-11-26,7e-05,7e-05,5.7999999999999994e-05,6.8e-05,6.8e-05,44670
2017-11-27,6.8e-05,6.8e-05,5.7999999999999994e-05,6.2e-05,6.2e-05,32145
2017-11-28,6.2e-05,6.8e-05,5.9e-05,6.2e-05,6.2e-05,105338
2017-11-29,6.2e-05,6.6e-05,5.3e-05,5.9e-05,5.9e-05,114599
2017-11-30,5.9999999999999995e-05,7.099999999999999e-05,5.3e-05,6.9e-05,6.9e-05,65174
2017-12-01,6.9e-05,7.2e-05,5.9e-05,6.8e-05,6.8e-05,56900
2017-12-02,7.099999999999999e-05,7.2e-05,6.500000000000001e-05,6.9e-05,6.9e-05,86392
2017-12-03,6.9e-05,7.900000000000001e-05,6.7e-05,7.4e-05,7.4e-05,74563
2017-12-04,7.4e-05,7.5e-05,6.4e-05,6.500000000000001e-05,6.500000000000001e-05,74381
2017-12-05,6.500000000000001e-05,7e-05,5.9999999999999995e-05,6.9e-05,6.9e-05,20832
2017-12-06,6.9e-05,7.3e-05,6.4e-05,6.500000000000001e-05,6.500000000000001e-05,36804
2017-12-07,6.6e-05,7.2e-05,6.1e-05,6.500000000000001e-05,6.500000000000001e-05,29661
2017-12-08,6.500000000000001e-05,6.7e-05,5.9999999999999995e-05,6.2e-05,6.2e-05,172323
2017-12-09,6.2e-05,7.3e-05,6.1e-05,6.6e-05,6.6e-05,79591
2017-12-10,6.6e-05,6.7e-05,5.5e-05,5.6000000000000006e-05,5.6000000000000006e-05,75745
2017-12-11,5.6000000000000006e-05,6.8e-05,5.6000000000000006e-05,6.8e-05,6.8e-05,87116
2017-12-12,6.7e-05,6.8e-05,5.1e-05,6.2e-05,6.2e-05,190098
2017-12-13,6.2e-05,7.2e-05,5.3e-05,6.8e-05,6.8e-05,170260
2017-12-14,6.8e-05,8e-05,6.3e-05,7.099999999999999e-05,7.099999999999999e-05,142095
2017-12-15,7.099999999999999e-05,7.6e-05,6.500000000000001e-05,6.7e-05,6.7e-05,101764
2017-12-16,6.7e-05,8.7e-05,6.3e-05,8.7e-05,8.7e-05,159941
2017-12-17,8.8e-05,0.00013700000000000002,8.3e-05,0.000125,0.000125,557972
2017-12-18,0.000125,0.00016299999999999998,0.00011899999999999999,0.000153,0.000153,585627
2017-12-19,0.000153,0.00016999999999999999,0.00014199999999999998,0.000144,0.000144,635271
2017-12-20,0.000144,0.000146,0.000126,0.000132,0.000132,381429
2017-12-21,0.000132,0.000144,0.000128,0.000144,0.000144,162606
2017-12-22,0.000145,0.00017900000000000001,0.00011100000000000001,0.000123,0.000123,568760
2017-12-23,0.000124,0.00015,0.000124,0.00013000000000000002,0.00013000000000000002,515157
2017-12-24,0.000132,0.000133,0.000105,0.000126,0.000126,450328
2017-12-25,0.000127,0.000139,0.000126,0.000134,0.000134,475760
2017-12-26,0.000134,0.000139,0.000128,0.000135,0.000135,405344
2017-12-27,0.000136,0.00017900000000000001,0.000134,0.000138,0.000138,552453
2017-12-28,0.000138,0.00014,0.000126,0.000138,0.000138,499045
2017-12-29,0.000139,0.000259,0.00013700000000000002,0.000244,0.000244,1764120
2017-12-30,0.000241,0.000277,0.00019099999999999998,0.000245,0.000245,1054930
2017-12-31,0.000242,0.0005059999999999999,0.00023999999999999998,0.000449,0.000449,4031490
2018-01-01,0.000453,0.000459,0.000323,0.000364,0.000364,3381860
2018-01-02,0.000365,0.000407,0.000338,0.000394,0.000394,1568590
2018-01-03,0.000395,0.0004969999999999999,0.000394,0.000455,0.000455,1164250
2018-01-04,0.000454,0.000546,0.000429,0.00046699999999999997,0.00046699999999999997,2733460
2018-01-05,0.0005110000000000001,0.000909,0.000481,0.000875,0.000875,8001870
2018-01-06,0.000872,0.001493,0.0008710000000000001,0.0012289999999999998,0.0012289999999999998,16813400
