cluster_id,cryptos
0,"['ADA', 'ARDR', 'SC', 'STRAT', 'ARK', 'ICX', 'ZEC', 'GNT', 'MLN', 'QTUM']"
1,"['ADX', 'VERI', 'BCN', 'DNT', 'NANO', 'DGB', 'XRP', 'BLOCK', 'GBYTE', 'WINGS', 'XCP', 'LRC', 'NXS', 'XVG', 'XUC', 'VTC', 'IOC', 'MIOTA', 'CVC', 'NEBL', 'NAV', 'FCT', 'QRL', 'PART', 'SNM', 'FUN', 'MTL', 'SNGLS', 'STORJ', 'SYS']"
2,"['AE', 'BCH', 'ETC', 'TAAS', 'DGD', 'ANT', 'REP', 'XLM', 'KNC', 'NEO']"
3,"['ATB', 'SALT', 'NLC2', 'NXT', 'KIN', 'XEM', 'MGO', 'SUB', 'PPT', 'UBQ', 'EDG', 'SMART', 'GAME', 'FRST']"
4,"['BAT', 'RLC', 'MCO', 'DCR', 'EOS', 'TRX', 'BTC', 'MAID']"
5,"['BNB', 'LINK', 'BTG', 'USDT', 'PAY']"
6,"['BNT', 'QASH', 'LSK', 'MONA', 'BTS', 'DASH', 'OMG', 'WAVES', 'XZC', 'WTC', 'GAS', 'HC', 'STEEM', 'PIVX', 'SNT', 'GNO']"
7,['DCN']
8,"['DOGE', 'ZEN', 'ZRX', 'XMR', 'ETH', 'ETP', 'LTC']"
9,['KMD']
