Date,Open,High,Low,Close,Adj Close
2015-04-01,0.0001710711121910505,0.0001764038567906641,5.5967590459924425e-05,8.466141404098697e-05,8.466141404098697e-05
2015-04-02,8.499074363631809e-05,0.00011186586040383577,9.102421305570127e-05,0.0001237359128291348,0.0001237359128291348
2015-04-03,0.00012149317840319827,0.00011521227503130094,0.00013038603491762619,0.00012156510734090439,0.00012156510734090439
2015-04-04,0.00012203799086240544,0.00010947556424136066,0.00010578489625392312,0.00010365596206300329,0.00010365596206300329
2015-04-05,0.0001013351174125331,9.274349110403477e-05,8.548895685636811e-05,7.923440032041087e-05,7.923440032041087e-05
2015-04-06,7.954261904424638e-05,0.00010039243882395518,9.225426998888645e-05,0.0001101683785276946,0.0001101683785276946
2015-04-07,0.00011005211675984777,9.513378726650992e-05,9.532941232184933e-05,8.411871266892937e-05,8.411871266892937e-05
2015-04-08,8.662518101393957e-05,8.127006952415419e-05,8.856409918933097e-05,7.706359483218044e-05,7.706359483218044e-05
2015-04-09,7.736336920741773e-05,7.17088848742537e-05,8.241381452340522e-05,7.489278934395003e-05,7.489278934395003e-05
2015-04-10,7.518411937058907e-05,6.59721740843134e-05,5.41225050601467e-05,4.830042211312719e-05,4.830042211312719e-05
2015-04-11,4.848830886943787e-05,4.924010094698755e-05,3.936182186192488e-05,4.178800564843586e-05,4.178800564843586e-05
2015-04-12,4.1950559358951854e-05,4.0156975529582075e-05,3.9976850328517456e-05,3.256208232345653e-05,3.256208232345653e-05
2015-04-13,3.268874755243002e-05,3.155190934467163e-05,2.706125253007336e-05,2.876317271905326e-05,2.876317271905326e-05
2015-04-14,2.8875060337979856e-05,4.254727169205719e-05,3.567165106236943e-05,3.6360991927859794e-05,3.6360991927859794e-05
2015-04-15,3.81368721445017e-05,3.967891629708705e-05,4.1206907261702605e-05,3.744639467197501e-05,3.744639467197501e-05
2015-04-16,3.759205968529453e-05,4.06350347620771e-05,4.674216346103579e-05,4.178800564843586e-05,4.178800564843586e-05
2015-04-17,4.4674621654987706e-05,3.967891629708705e-05,4.981730579399868e-05,4.395881113666631e-05,4.395881113666631e-05
2015-04-18,4.4129809195780536e-05,3.8722797832096985e-05,3.813176492873972e-05,2.984857546316848e-05,2.984857546316848e-05
2015-04-19,2.9964685256394183e-05,3.3942205507146756e-05,3.567165106236943e-05,3.310478369551414e-05,3.310478369551414e-05
2015-04-20,3.323356001163719e-05,2.91616131821965e-05,3.0136394863036234e-05,2.5506964486707618e-05,2.5506964486707618e-05
2015-04-21,2.560618558273686e-05,2.820549471720645e-05,3.075142332962881e-05,2.7677769974938056e-05,2.7677769974938056e-05
2015-04-22,2.778543541956554e-05,2.8683553949701474e-05,3.075142332962881e-05,2.8220471346995652e-05,2.8220471346995652e-05
2015-04-23,2.8330247878772685e-05,2.7727435484711423e-05,3.321153719599912e-05,2.7677769974938056e-05,2.7677769974938056e-05
2015-04-24,2.778543541956554e-05,2.91616131821965e-05,3.2596508729406546e-05,3.473288781168695e-05,3.473288781168695e-05
2015-04-25,3.432318493005152e-05,2.91616131821965e-05,3.567165106236943e-05,2.930587409111087e-05,2.930587409111087e-05
2015-04-26,2.9419872797187013e-05,2.4859080089741283e-05,2.952136639644366e-05,2.6049665858765228e-05,2.6049665858765228e-05
2015-04-27,2.615099804194403e-05,3.776667936710695e-05,3.3826565662591696e-05,4.178800564843586e-05,4.178800564843586e-05
2015-04-28,4.031612198133037e-05,3.537638320463182e-05,4.1206907261702605e-05,3.419018643962934e-05,3.419018643962934e-05
2015-04-29,3.432318493005152e-05,3.0117731647186565e-05,3.874679339533229e-05,3.310478369551414e-05,3.310478369551414e-05
2015-04-30,3.323356001163719e-05,3.3942205507146756e-05,4.182193572829518e-05,3.853179741609022e-05,3.853179741609022e-05
2015-05-01,3.868168460370886e-05,3.298608704215672e-05,4.551210652785064e-05,3.798909604403261e-05,3.798909604403261e-05
2015-05-02,3.65024347668802e-05,3.298608704215672e-05,4.1206907261702605e-05,3.744639467197501e-05,3.744639467197501e-05
2015-05-03,3.759205968529453e-05,3.298608704215672e-05,3.874679339533229e-05,3.419018643962934e-05,3.419018643962934e-05
2015-05-04,3.432318493005152e-05,3.250802780966168e-05,3.874679339533229e-05,3.5275589183744575e-05,3.5275589183744575e-05
2015-05-05,3.5412809848465875e-05,3.059579087968158e-05,3.567165106236943e-05,2.984857546316848e-05,2.984857546316848e-05
2015-05-06,2.9964685256394183e-05,2.724937625221641e-05,3.690170799555457e-05,3.09339782072837e-05,3.09339782072837e-05
2015-05-07,3.0509497715601354e-05,3.3942205507146756e-05,3.874679339533229e-05,3.798909604403261e-05,3.798909604403261e-05
2015-05-08,3.81368721445017e-05,3.3942205507146756e-05,4.182193572829518e-05,3.744639467197501e-05,3.744639467197501e-05
2015-05-09,3.759205968529453e-05,3.155190934467163e-05,4.3667021128072904e-05,3.473288781168695e-05,3.473288781168695e-05
2015-05-10,3.486799738925869e-05,3.346414627465173e-05,4.1206907261702605e-05,3.5275589183744575e-05,3.5275589183744575e-05
2015-05-11,3.5412809848465875e-05,3.155190934467163e-05,3.7516736462147144e-05,3.744639467197501e-05,3.744639467197501e-05
2015-05-12,3.759205968529453e-05,3.6810560902116896e-05,4.182193572829518e-05,4.2873408392551094e-05,4.2873408392551094e-05
2015-05-13,4.304018427736621e-05,4.06350347620771e-05,4.858724886081353e-05,3.961720016020545e-05,3.961720016020545e-05
2015-05-14,3.977130952212321e-05,3.824473859960197e-05,4.674216346103579e-05,4.015990153226306e-05,4.015990153226306e-05
2015-05-15,4.031612198133037e-05,3.633250166962187e-05,4.6127134994443216e-05,4.2330707020493485e-05,4.2330707020493485e-05
2015-05-16,4.249537181815904e-05,4.254727169205719e-05,4.674216346103579e-05,3.798909604403261e-05,3.798909604403261e-05
2015-05-17,3.759205968529453e-05,3.489832397213681e-05,4.674216346103579e-05,4.015990153226306e-05,4.015990153226306e-05
2015-05-18,4.031612198133037e-05,4.254727169205719e-05,4.9202277327406103e-05,4.504421388078152e-05,4.504421388078152e-05
2015-05-19,4.3584996736573365e-05,4.398144938954228e-05,5.227741966036898e-05,4.612961662489675e-05,4.612961662489675e-05
2015-05-20,4.630905903260922e-05,4.302533092455223e-05,5.41225050601467e-05,4.667231799695436e-05,4.667231799695436e-05
2015-05-21,4.6853871491816375e-05,4.589368631952237e-05,5.5967590459924425e-05,4.667231799695436e-05,4.667231799695436e-05
2015-05-22,4.6853871491816375e-05,4.493756785453232e-05,5.4737533526739276e-05,4.9385824857242394e-05,4.9385824857242394e-05
2015-05-23,4.95779337878522e-05,4.684980478451242e-05,5.904273279288731e-05,4.9385824857242394e-05,4.9385824857242394e-05
2015-05-24,4.95779337878522e-05,4.493756785453232e-05,5.781267585970216e-05,5.209933171753044e-05,5.209933171753044e-05
2015-05-25,5.230199608388805e-05,4.732786401700743e-05,6.0887818192665036e-05,4.9928526229300004e-05,4.9928526229300004e-05
2015-05-26,5.012274624705937e-05,4.876204171449251e-05,6.0887818192665036e-05,5.264203308958805e-05,5.264203308958805e-05
2015-05-27,5.284680854309521e-05,5.784516713189798e-05,6.396296052562793e-05,6.023985229839457e-05,6.023985229839457e-05
2015-05-28,5.9384558053581216e-05,5.354263403944275e-05,6.703810285859079e-05,5.969715092633696e-05,5.969715092633696e-05
2015-05-29,5.992937051278839e-05,5.210845634195769e-05,6.396296052562793e-05,5.264203308958805e-05,5.264203308958805e-05
2015-05-30,5.284680854309521e-05,4.924010094698755e-05,6.396296052562793e-05,5.372743583370327e-05,5.372743583370327e-05
2015-05-31,5.393643346150955e-05,4.589368631952237e-05,5.658261892651701e-05,4.9385824857242394e-05,4.9385824857242394e-05
2015-06-01,4.95779337878522e-05,4.3503390157047254e-05,5.3507476593554126e-05,4.558691525283913e-05,4.558691525283913e-05
2015-06-02,4.5764246573402034e-05,4.589368631952237e-05,5.4737533526739276e-05,4.9928526229300004e-05,4.9928526229300004e-05
2015-06-03,5.012274624705937e-05,4.3503390157047254e-05,5.904273279288731e-05,4.9385824857242394e-05,4.9385824857242394e-05
2015-06-04,4.95779337878522e-05,4.302533092455223e-05,5.658261892651701e-05,4.667231799695436e-05,4.667231799695436e-05
2015-06-05,4.6853871491816375e-05,4.398144938954228e-05,5.4737533526739276e-05,5.047122760135763e-05,5.047122760135763e-05
2015-06-06,5.0667558706266555e-05,4.302533092455223e-05,5.289244812696155e-05,4.558691525283913e-05,4.558691525283913e-05
2015-06-07,4.5764246573402034e-05,4.159115322706714e-05,5.166239119377639e-05,4.450151250872392e-05,4.450151250872392e-05
2015-06-08,4.4674621654987706e-05,3.967891629708705e-05,5.41225050601467e-05,4.612961662489675e-05,4.612961662489675e-05
2015-06-09,4.630905903260922e-05,4.0156975529582075e-05,3.690170799555457e-05,3.364748506757175e-05,3.364748506757175e-05
2015-06-10,3.432318493005152e-05,3.346414627465173e-05,3.2596508729406546e-05,3.6360991927859794e-05,3.6360991927859794e-05
2015-06-11,3.65024347668802e-05,3.2029968577166654e-05,3.874679339533229e-05,3.364748506757175e-05,3.364748506757175e-05
2015-06-12,3.3778372470844363e-05,3.10738501121766e-05,3.874679339533229e-05,3.364748506757175e-05,3.364748506757175e-05
2015-06-13,3.3778372470844363e-05,3.155190934467163e-05,4.1206907261702605e-05,3.744639467197501e-05,3.744639467197501e-05
2015-06-14,3.759205968529453e-05,3.346414627465173e-05,4.305199266148033e-05,3.744639467197501e-05,3.744639467197501e-05
2015-06-15,3.759205968529453e-05,3.633250166962187e-05,4.182193572829518e-05,3.310478369551414e-05,3.310478369551414e-05
2015-06-16,3.323356001163719e-05,3.442026473964178e-05,3.9976850328517456e-05,4.015990153226306e-05,4.015990153226306e-05
2015-06-17,4.031612198133037e-05,4.541562708702734e-05,4.674216346103579e-05,4.015990153226306e-05,4.015990153226306e-05
2015-06-18,4.031612198133037e-05,3.967891629708705e-05,4.858724886081353e-05,4.667231799695436e-05,4.667231799695436e-05
2015-06-19,4.7398683951023546e-05,4.06350347620771e-05,4.6127134994443216e-05,3.744639467197501e-05,3.744639467197501e-05
2015-06-20,3.759205968529453e-05,3.3942205507146756e-05,4.3667021128072904e-05,3.907449878814784e-05,3.907449878814784e-05
2015-06-21,3.922649706291604e-05,3.442026473964178e-05,4.489707806125807e-05,4.070260290432067e-05,4.070260290432067e-05
2015-06-22,4.086093444053754e-05,3.6810560902116896e-05,4.305199266148033e-05,3.798909604403261e-05,3.798909604403261e-05
2015-06-23,3.81368721445017e-05,3.824473859960197e-05,4.674216346103579e-05,3.907449878814784e-05,3.907449878814784e-05
2015-06-24,3.922649706291604e-05,3.346414627465173e-05,4.6127134994443216e-05,3.798909604403261e-05,3.798909604403261e-05
2015-06-25,3.81368721445017e-05,3.346414627465173e-05,4.6127134994443216e-05,3.6903693299917404e-05,3.6903693299917404e-05
2015-06-26,3.704724722608737e-05,3.3942205507146756e-05,4.2436964194887755e-05,3.364748506757175e-05,3.364748506757175e-05
2015-06-27,3.3778372470844363e-05,3.298608704215672e-05,4.059187879511003e-05,3.853179741609022e-05,3.853179741609022e-05
2015-06-28,3.868168460370886e-05,3.298608704215672e-05,4.305199266148033e-05,3.5818290555802185e-05,3.5818290555802185e-05
