Date,Open,High,Low,Close,Adj Close,Volume
2015-08-26,4.6e-05,5.3e-05,4.1e-05,4.1e-05,4.1e-05,25579.0
2015-08-27,4.1e-05,5.4000000000000005e-05,3.8e-05,4.3e-05,4.3e-05,9605.0
2015-08-28,4.3e-05,4.7e-05,3.5e-05,3.9e-05,3.9e-05,6165.0
2015-08-29,3.9e-05,4.2e-05,3.4e-05,3.4e-05,3.4e-05,2024.0
2015-08-30,3.7e-05,3.9e-05,2.7000000000000002e-05,3.2e-05,3.2e-05,5895.0
2015-08-31,3.2e-05,3.4e-05,2.7000000000000002e-05,2.9999999999999997e-05,2.9999999999999997e-05,2248.0
2015-09-01,2.9999999999999997e-05,3.2e-05,2.8999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,1436.0
2015-09-02,2.9999999999999997e-05,3.2e-05,2.7000000000000002e-05,2.8000000000000003e-05,2.8000000000000003e-05,2005.0
2015-09-03,2.8000000000000003e-05,2.8000000000000003e-05,2.3e-05,2.5e-05,2.5e-05,2990.0
2015-09-04,2.5e-05,2.5e-05,2.3e-05,2.5e-05,2.5e-05,390.0
2015-09-05,2.5e-05,2.6000000000000002e-05,2.3e-05,2.4e-05,2.4e-05,1153.0
2015-09-06,2.3e-05,2.8999999999999997e-05,2.3e-05,2.8999999999999997e-05,2.8999999999999997e-05,1481.0
2015-09-07,2.8999999999999997e-05,5.1e-05,2.6000000000000002e-05,4.3e-05,4.3e-05,12819.0
2015-09-08,4.3e-05,9e-05,4.3e-05,7.8e-05,7.8e-05,95138.0
2015-09-09,7.8e-05,7.8e-05,4.5e-05,4.8e-05,4.8e-05,18387.0
2015-09-10,4.8e-05,5.5e-05,3.8e-05,4.8e-05,4.8e-05,13511.0
2015-09-11,4.8e-05,4.8e-05,3.8e-05,4.3e-05,4.3e-05,6596.0
2015-09-12,4.3e-05,4.6e-05,3.1e-05,3.3e-05,3.3e-05,4876.0
2015-09-13,3.3e-05,4e-05,3.1e-05,3.5e-05,3.5e-05,1774.0
2015-09-14,3.5e-05,3.9e-05,3.5e-05,3.5e-05,3.5e-05,2568.0
2015-09-15,3.5e-05,3.9e-05,2.9999999999999997e-05,3.5e-05,3.5e-05,4488.0
2015-09-16,3.5e-05,3.5e-05,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,1854.0
2015-09-17,2.9999999999999997e-05,3.2e-05,2.8000000000000003e-05,2.9999999999999997e-05,2.9999999999999997e-05,4336.0
2015-09-18,2.9999999999999997e-05,3.2e-05,2.8000000000000003e-05,2.9999999999999997e-05,2.9999999999999997e-05,1044.0
2015-09-19,2.9999999999999997e-05,2.9999999999999997e-05,2.5e-05,2.8000000000000003e-05,2.8000000000000003e-05,2034.0
2015-09-20,2.8000000000000003e-05,3.2e-05,2.8000000000000003e-05,2.8000000000000003e-05,2.8000000000000003e-05,2797.0
2015-09-21,2.8000000000000003e-05,3.2e-05,2.7000000000000002e-05,2.9999999999999997e-05,2.9999999999999997e-05,2589.0
2015-09-22,2.9999999999999997e-05,3.2e-05,2.8999999999999997e-05,3.2e-05,3.2e-05,1086.0
2015-09-23,3.2e-05,3.5e-05,2.9999999999999997e-05,3.2e-05,3.2e-05,2987.0
2015-09-24,3.2e-05,3.5e-05,2.9999999999999997e-05,3.3e-05,3.3e-05,1399.0
